"Sr.No","Type","Name of the University","Address","Zip","state","Status"
"411","Deemed to be Universities","IIS","Gurukul Marg, SFS, Mansarovar, Jaipur","302020","Rajasthan","Section-III & 12(B)"
"412","Private","IMS Unison University","Makkawala Greens,Mussorie Diversion Road, Dehradun","248009","Uttarakhand","2(f)"
"413","Deemed to be Universities","Indain Institute of Foreigen Trade","IIFT Bhawan, B-21, Qutub Institutional Area","110016","Delhi","Section-III & 12(B)"
"414","Private","India International University of Legal Education and Research","Upasnagar, sancoale, Airport Road, South Goa","403710","Goa","2(f)"
"415","Deemed to be Universities","Indian Agricultural Research Institute","PUSA IARI,  New Delhi","110012","Delhi","Section-III & 12(B)"
"416","Deemed to be Universities","Indian Association for the Cultivation of Science (IACS)","Raja S.C. Mullick Road, Jadavpur, Kolkata","700032","West Bengal","Section-III"
"417","Deemed to be Universities","Indian Institute of Forest Management (IIFM)","PO Box 357, Nehru Nagar, Bhopal,","462003","Madhya Pradesh","Section-III"
"418","Deemed to be Universities","Indian Institute of Heritage","National Museum, Janpath, New Delhi","110001","Delhi","Section-III"
"419","Deemed to be Universities","Indian Institute of Mass Communication (IIMC)","JNU New Campus, Aruna Asaf Ali Marg, New Delhi","110067","Delhi","Section-III"
"420","Private","Indian Institute of Public Health","Opposite Air-Force Headquarters GandhinagarNear Lekawada Bus Stop, Gandhinagar-Chiloda roadCRPF, P. O. Lekawada, Gandhinagar","382042","Gujarat","2(f)"
"421","Deemed to be Universities","Indian Institute of Science","Sir C.V. Raman Road, Bangalore","560012","Karnataka","Section-III & 12(B)"
"422","Deemed to be Universities","Indian Institute of Space Science and Technology","Valiamala Post, Thiruvananthapuram","695547","Kerala","Section-III"
"423","State","Indian Institute of Teacher Education","Kh Road, Sector 15,   Nr. Mahatma Mandir, G-4, Sector-15, Gandhinagar","382016","Gujarat","2(f) & 12(B)"
"424","Deemed to be Universities","Indian Law Institute","Opposite Supreme Court of India, Bhagwan Dass Road","110001","Delhi","Section-III & 12(B)"
"425","Central","Indian Maritime University","East Coast Road,Semmencherry,Chennai","600119","Tamil Nadu","2(f) & 12(B)"
"426","Deemed to be Universities","Indian Veterinary Research Institute","Izatnagar, Bareilly","24311","Uttar Pradesh","Section-III"
"427","State","Indira Gandhi Delhi Technical University for Women","Kashmere Gate","110006","Delhi","2(f) & 12(B)"
"428","Deemed to be Universities","Indira Gandhi Institute of Development Research","Gen Arun Kumar Vaidya Marg, Film City Rd, Goregaon, Mumbai","400065","Maharashtra","Section-III"
"429","State","Indira Gandhi Krishi Vishwavidyalaya","Krishak Nagar, Raipur,","492012","Chhattisgarh","2(f) & 12(B)"
"430","Central","Indira Gandhi National Open University","Maidan Garhi,New Delhi","110068","Delhi","2(f) & 12(B)"
"431","Private","Indira Gandhi Technological and Medical Science University","Ziro, Lower Subansiri","791120","Arunachal Pradesh","2(f)"
"432","State","Indira Gandhi University","Meerpur, Rewari,","122502","Haryana","2(f) & 12(B)"
"433","State","Indira Kala Sangeet Vishwavidyalaya","Khairagarh","491881","Chhattisgarh","2(f) & 12(B)"
"434","State","Indraprastha Institute of Information Technology","Near Govindpuri Metro Station, Okhala Industrial Estate Phase-III, New Delhi","110020","Delhi","2(f) & 12(B)"
"435","Private","Indrashil University","ON Ahmedabad-Mahesana Highway, Take Left from Kalapi Hotel, Near Chhatral,Kadi,GIDC, Rajpur, Taluka:Kadi, Dist.-Mehsana","382715","Gujarat","2(f)"
"436","Private","Indus International Uniersity","V.P.O. BathuTehsil HaroliDistt. Una","174301","Himachal Pradesh","2(f)"
"437","Private","Indus University","Vill. Rancharda, Via: Shilaj, AhmedabadRancharda, Via-ThaltejAhmedabad","382115","Gujarat","2(f)"
"438","Private","Institute of Advanced Research","nstitute of Advanced Research, Koba Institutional Area, GandhinagarKoba,Gandhinagar","382426","Gujarat","2(f)"
"439","Deemed to be Universities","Institute of Advanced Studies in Education","Gandhi Vidya Mandir, Sardarshahr, Dist: Churu","331403","Rajasthan","Section-III"
"440","Deemed to be Universities","Institute of Chemical Technology","Nathalal Parekh Marg, Matunga, Mumbai","400019","Maharashtra","Section-III & 12(B)"
"441","State","Institute of Infrastructure Technology Research and Management","Near Khokhra Circle, Maninagar (East), Ahmedabad-380 026, Gujarat, IndiaManinagar (East), Ahmedabad, Gujarat","380026","Gujarat","2(f)"
"442","Deemed to be Universities","Institute of Liver and Biliary Sciences(ILBS)","D-1, Vasant Kunj","110070","Delhi","Section-III & 12(B)"
"443","Private","Integral University","Integral University, Dasauli, Kursi Road, LucknowLucknow","226026","Uttar Pradesh","2(f) & 12(B)"
"444","Deemed to be Universities","International Institute for Population Sciences","Govandi Station Road, Deonar, Mumbai","400088","Maharashtra","Section-III"
"445","Deemed to be Universities","International Institute of Information Technology","Electronics City, Hosur Road, Bangalore","560100","Karnataka","Section-III"
"446","Deemed to be Universities","International Institute of Information Technology","Prof C R Rao Road, Gachibowli, Hyderabad","500032","Telangana","Section-III"
"447","State","International Institute of Information Technology","Plot No.-7, Sector 24,Near Purkhoti, Muktangan,Naya Raipur","493661","Chhattisgarh","2(f)"
"448","State","International Institute of Information Technology (IIIT)","Gothapatana, P.O-Malipada, Bhubaneswar","751029","Odisha","2(f)"
"449","State","International Sports University, Maharashtra","Sports & Youth ServicesShivchhatrapati Sports ComplexMahalunge-Belawadi, Pune","411045","Maharashtra","2(f)"
"450","Private","Invertis University","Invertis Village, Bareily-LucknowNational Highway -24, Bareily, U.P.NULL","","Uttar Pradesh","2(f)"
"451","Private","ISBM University","Vill-Nawapara (Kosmi) Block,Tehsil-Chhura,Dist-Gariyaband","493996","Chhattisgarh","2(f)"
"452","State","Islamic University of Sciences & Technology University","1, University Avenue,Awantipora,Pulwama","192 122","Jammu and Kashmir","2(f) & 12(B)"
"453","Private","ITM (SLS) Baroda University","VILLAGE PALDI, NEAR JAROD, VADODARA HALOL HIGHWAY TAL WAGHODIA, DIST: VADODARANear Jarod,Vododara-Halol Highwary, Vadodara","391510","Gujarat","2(f)"
"454","Private","ITM Skills University","Plot 24 and 25, Institutional Area, Kharghar, Navi Mumbai","410210","Maharashtra","2(f)"
"455","Private","ITM University","Uparwara, Teh.- AbhanpurNaya Raipur,  Distt. Raipur","493 661","Chhattisgarh","2(f)"
"456","Private","ITM University","Opp. Sithouli Rly. StationNH-75, Jhansi RoadGwalior","474001","Madhya Pradesh","2(f)"
"457","Private","ITM Vocational University","Plot 6512, Ajwa Nimeta Road, Raval, Taluka, Vagodia, District - Vadodara, Gujarat.Nimeta Road, Raaval TalukaWaghodia, Vadodara","391760","Gujarat","2(f)"
"458","State","J. C. Bose University of Science & Technology, YMCA","FaridabadSector-6","121006","Haryana","2(f) & 12(B)"
"459","Private","J. N. C. T professional University","New Chouksey Nagar, Lambakheda, Berasia Road, Bhopal,","462038","Madhya Pradesh","2(f)"
"460","Private","J.E.C.R.C  University","Plot No.IS-2036 to 2039,Ramchandrapura Industrial Area,Vidhani,Sitapura Extn,JaipurRamchandrapura, Sitapura Industrial Area ExtnNear Mahatma Gandhi Hospital, Vidhani Village, Jaipur","303905","Rajasthan","2(f) & 12(B)"
"461","Private","J.G. University","Uvarsad,Distt- Gandhinagar","","Gujarat","2(f)"
"462","Private","J.S. University","5KM MAINPURI ROAD SHIKOHABADFirozabadUttar pradesh","283135","Uttar Pradesh","2(f)"
"463","State","Jadavpur University","188, Raja S. C. Mallik Road, Jadavpur, KolkataKolkatta,PIN - 700 032.","700032","West Bengal","2(f) & 12(B)"
"464","State","Jagadguru Ramanandacharya Sanskrit University","Bhankrota - Muhana Link Road, Madau, JaipurJaipur-302026","302026","Rajasthan","2(f) & 12(B)"
"465","State","Jagadguru Rambhadracharya Divyang State University","Chitrakoot","210204","Uttar Pradesh","2(f)"
"466","Private","Jagan Nath University","State Highway 22, Bahadurgarh-Jhajjar Road, Jhajjar","124507","Haryana","2(f)"
"467","Private","Jagannath University","NH-12, Chaksu Byepass, Tonk Road, Teshil-Chaksu, Jaipur","303901","Rajasthan","2(f) & 12(B)"
"468","State","Jagat Guru Nanak Dev Punjab State Open University","C/28 Lower Mall, Patiala","147001","Punjab","2(f)"
"469","Private","Jagran Lakecity University","Gram Panchayat Mugaliya ChhapTehsil Huzur, Bhopal","462044","Madhya Pradesh","2(f)"
"470","Private","Jai Minesh Adivasi University","In front of IIIT, Ranpur, Kota,","325003","Rajasthan","2(f)"
"471","State","Jai Narain Vyas University","Residency Road, Jodhpur (Rajasthan)PIN - 342 001.(RAJASTHAN","342011","Rajasthan","2(f) & 12(B)"
"472","State","Jai Prakash University","Rahul Sankrityayan Nagar, Chapra","841302","Bihar","2(f) & 12(B)"
"473","Deemed to be Universities","Jain","Dr. A. N. Krishna Rao Road, V. V. Puram, Bangalore","560004","Karnataka","Section-III"
"474","Deemed to be Universities","Jain Vishva Bharati Institute","Ladnun, Dist. Nagaur","341306","Rajasthan","Section-III & 12(B)"
"475","Private","Jaipur National University","Jaipur-Agra BypassNear New RTO office, JaipurJagatpura","302 017","Rajasthan","2(f)"
"476","Deemed to be Universities","Jamia Hamdard","Hamdard Nagar, New Delhi","110062","Delhi","Section-III & 12(B)"
"477","Central","Jamia Millia Islamia","Maulana Mohammad Ali Jauhar Marg,Jamia Nagar","110025","Delhi","2(f) & 12(B)"
"478","State","Jammu University","Baba Saheb Ambedkar Road Jammu Tawi (J&K)Jammu Tawi - 180 004.","180006","Jammu and Kashmir","2(f) & 12(B)"
"479","State","Jamshedpur Women's University","Jamshedpur,Jharkhand","831001","Jharkhand","2(f)"
"480","State","Jananayak Chandrashekhar University","Ballia","277001","Uttar Pradesh","2(f)"
"481","Deemed to be Universities","Janardan Rai Nagar Rajasthan Vidyapeeth","Airport Road, Pratap Nagar, Udaipur","313001","Rajasthan","Section-III"
"482","Deemed to be Universities","Jawahar Lal Nehru Centre for Advanced Scientific Research","Rachenahalli Lake Rd, Jakkur, Bengaluru","560064","Karnataka","Section-III & 12(B)"
"483","State","Jawaharlal Nehru Architecture and Fine Arts University","Masab Tank, HyderabadMasab Tank,Hyderabad","500028","Telangana","2(f) & 12(B)"
"484","State","Jawaharlal Nehru Krishi Vishwavidyalaya","Krishinagar, Jabalpur,","482004","Madhya Pradesh","2(f) & 12(B)"
"485","State","Jawaharlal Nehru Technological University","KukatpallyHyderabad - 500 085.Andhra Pradesh","","Telangana","2(f) & 12(B)"
"486","State","Jawaharlal Nehru Technological University","Gurajada, Vizianagram, Dwarapudi","535003","Andhra Pradesh","2(f)"
"487","State","Jawaharlal Nehru Technological University (Anantapur)","JNTU Anantapur, Ananthapuramu, Andhra PradeshAndhra Pradesh -515002","515002","Andhra Pradesh","2(f) & 12(B)"
